Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Luxe Halo Bangle,luxe-halo-bangle-bangles,"Luxe Halo Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Bangles,"Royal Spark,Bangles,Luxury,Gold",TRUE,Active,RS-BAN-005,880000000011,,,,,,,,,,4180.00,4932.40,2006.40,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/21MHBI05056.jpg?v=1744108714,1,Luxe Halo Bangle by Royal Spark,,FALSE,Luxe Halo Bangle | Royal Spark Jewelry,"Luxe Halo Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-BAN-005,Bangles,"Luxury, Jewelry",new,TRUE,Bangles,Royal Spark,Luxury,Import Batch 1,
Midnight Shine Bangle,midnight-shine-bangle-bangles,"Midnight Shine Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Bangles,"Royal Spark,Bangles,Luxury,Gold",TRUE,Active,RS-BAN-006,880000000012,,,,,,,,,,2980.00,3516.40,1430.40,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/21MHBI05056.jpg?v=1744108714,1,Midnight Shine Bangle by Royal Spark,,FALSE,Midnight Shine Bangle | Royal Spark Jewelry,"Midnight Shine Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-BAN-006,Bangles,"Luxury, Jewelry",new,TRUE,Bangles,Royal Spark,Luxury,Import Batch 1,
Royal Spark Top Grillz,royal-spark-top-grillz-grillz,"Royal Spark Top Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Grillz,"Royal Spark,Grillz,Luxury,Gold",TRUE,Active,RS-GRI-001,880000000013,,,,,,,,,,1850.00,2183.00,888.00,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/2ho4vbhh_92778eea-ecad-464d-b41f-0d1ec4466d99.jpg,1,Royal Spark Top Grillz by Royal Spark,,FALSE,Royal Spark Top Grillz | Royal Spark Jewelry,"Royal Spark Top Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-GRI-001,Grillz,"Luxury, Jewelry",new,TRUE,Grillz,Royal Spark,Luxury,Import Batch 1,
Diamond Smile Grillz,diamond-smile-grillz-grillz,"Diamond Smile Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Grillz,"Royal Spark,Grillz,Luxury,Gold",TRUE,Active,RS-GRI-002,880000000014,,,,,,,,,,2250.00,2655.00,1080.00,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/2ho4vbhh_92778eea-ecad-464d-b41f-0d1ec4466d99.jpg,1,Diamond Smile Grillz by Royal Spark,,FALSE,Diamond Smile Grillz | Royal Spark Jewelry,"Diamond Smile Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-GRI-002,Grillz,"Luxury, Jewelry",new,TRUE,Grillz,Royal Spark,Luxury,Import Batch 1,
Gold Luxe Grillz,gold-luxe-grillz-grillz,"Gold Luxe Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Grillz,"Royal Spark,Grillz,Luxury,Gold",TRUE,Active,RS-GRI-003,880000000015,,,,,,,,,,1990.00,2348.20,955.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/2ho4vbhh_92778eea-ecad-464d-b41f-0d1ec4466d99.jpg,1,Gold Luxe Grillz by Royal Spark,,FALSE,Gold Luxe Grillz | Royal Spark Jewelry,"Gold Luxe Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-GRI-003,Grillz,"Luxury, Jewelry",new,TRUE,Grillz,Royal Spark,Luxury,Import Batch 1,
Midnight Cut Grillz,midnight-cut-grillz-grillz,"Midnight Cut Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Grillz,"Royal Spark,Grillz,Luxury,Gold",TRUE,Active,RS-GRI-004,880000000016,,,,,,,,,,2450.00,2891.00,1176.00,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/2ho4vbhh_92778eea-ecad-464d-b41f-0d1ec4466d99.jpg,1,Midnight Cut Grillz by Royal Spark,,FALSE,Midnight Cut Grillz | Royal Spark Jewelry,"Midnight Cut Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-GRI-004,Grillz,"Luxury, Jewelry",new,TRUE,Grillz,Royal Spark,Luxury,Import Batch 1,
Signature VVS Grillz,signature-vvs-grillz-grillz,"Signature VVS Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Grillz,"Royal Spark,Grillz,Luxury,Gold",TRUE,Active,RS-GRI-005,880000000017,,,,,,,,,,2890.00,3410.20,1387.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/2ho4vbhh_92778eea-ecad-464d-b41f-0d1ec4466d99.jpg,1,Signature VVS Grillz by Royal Spark,,FALSE,Signature VVS Grillz | Royal Spark Jewelry,"Signature VVS Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-GRI-005,Grillz,"Luxury, Jewelry",new,TRUE,Grillz,Royal Spark,Luxury,Import Batch 1,
Crown Fit Grillz,crown-fit-grillz-grillz,"Crown Fit Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Grillz,"Royal Spark,Grillz,Luxury,Gold",TRUE,Active,RS-GRI-006,880000000018,,,,,,,,,,2590.00,3056.20,1243.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/2ho4vbhh_92778eea-ecad-464d-b41f-0d1ec4466d99.jpg,1,Crown Fit Grillz by Royal Spark,,FALSE,Crown Fit Grillz | Royal Spark Jewelry,"Crown Fit Grillz by Royal Spark Jewelry. A luxury grillz piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-GRI-006,Grillz,"Luxury, Jewelry",new,TRUE,Grillz,Royal Spark,Luxury,Import Batch 1,
Crown Drop Charm,crown-drop-charm-charms,"Crown Drop Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Charms,"Royal Spark,Charms,Luxury,Gold",TRUE,Active,RS-CHA-001,880000000019,,,,,,,,,,780.00,920.40,374.40,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/NCK00706FINAL_7.jpg?v=1743765844,1,Crown Drop Charm by Royal Spark,,FALSE,Crown Drop Charm | Royal Spark Jewelry,"Crown Drop Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-001,Charms,"Luxury, Jewelry",new,TRUE,Charms,Royal Spark,Luxury,Import Batch 1,
Royal Initial Charm,royal-initial-charm-charms,"Royal Initial Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Charms,"Royal Spark,Charms,Luxury,Gold",TRUE,Active,RS-CHA-002,880000000020,,,,,,,,,,690.00,814.20,331.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/NCK00706FINAL_7.jpg?v=1743765844,1,Royal Initial Charm by Royal Spark,,FALSE,Royal Initial Charm | Royal Spark Jewelry,"Royal Initial Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-002,Charms,"Luxury, Jewelry",new,TRUE,Charms,Royal Spark,Luxury,Import Batch 1,
Diamond Star Charm,diamond-star-charm-charms,"Diamond Star Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Charms,"Royal Spark,Charms,Luxury,Gold",TRUE,Active,RS-CHA-003,880000000021,,,,,,,,,,840.00,991.20,403.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/NCK00706FINAL_7.jpg?v=1743765844,1,Diamond Star Charm by Royal Spark,,FALSE,Diamond Star Charm | Royal Spark Jewelry,"Diamond Star Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-003,Charms,"Luxury, Jewelry",new,TRUE,Charms,Royal Spark,Luxury,Import Batch 1,
Halo Heart Charm,halo-heart-charm-charms,"Halo Heart Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Charms,"Royal Spark,Charms,Luxury,Gold",TRUE,Active,RS-CHA-004,880000000022,,,,,,,,,,760.00,896.80,364.80,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/NCK00706FINAL_7.jpg?v=1743765844,1,Halo Heart Charm by Royal Spark,,FALSE,Halo Heart Charm | Royal Spark Jewelry,"Halo Heart Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-004,Charms,"Luxury, Jewelry",new,TRUE,Charms,Royal Spark,Luxury,Import Batch 1,
Luxe Tag Charm,luxe-tag-charm-charms,"Luxe Tag Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Charms,"Royal Spark,Charms,Luxury,Gold",TRUE,Active,RS-CHA-005,880000000023,,,,,,,,,,720.00,849.60,345.60,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/NCK00706FINAL_7.jpg?v=1743765844,1,Luxe Tag Charm by Royal Spark,,FALSE,Luxe Tag Charm | Royal Spark Jewelry,"Luxe Tag Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-005,Charms,"Luxury, Jewelry",new,TRUE,Charms,Royal Spark,Luxury,Import Batch 1,
Spark Emblem Charm,spark-emblem-charm-charms,"Spark Emblem Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Charms,"Royal Spark,Charms,Luxury,Gold",TRUE,Active,RS-CHA-006,880000000024,,,,,,,,,,810.00,955.80,388.80,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/NCK00706FINAL_7.jpg?v=1743765844,1,Spark Emblem Charm by Royal Spark,,FALSE,Spark Emblem Charm | Royal Spark Jewelry,"Spark Emblem Charm by Royal Spark Jewelry. A luxury charm piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-006,Charms,"Luxury, Jewelry",new,TRUE,Charms,Royal Spark,Luxury,Import Batch 1,
Royal Solitaire Ring,royal-solitaire-ring-rings,"Royal Solitaire Ring by Royal Spark Jewelry. A luxury ring piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Rings,"Royal Spark,Rings,Luxury,Gold",TRUE,Active,RS-RIN-001,880000000025,,,,,,,,,,2690.00,3174.20,1291.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/zunjm4jc_426b8562-73d0-4980-b0fa-67c1b86f59ff.jpg,1,Royal Solitaire Ring by Royal Spark,,FALSE,Royal Solitaire Ring | Royal Spark Jewelry,"Royal Solitaire Ring by Royal Spark Jewelry. A luxury ring piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-RIN-001,Rings,"Luxury, Jewelry",new,TRUE,Rings,Royal Spark,Luxury,Import Batch 1,
Emerald Halo Ring,emerald-halo-ring-rings,"Emerald Halo Ring by Royal Spark Jewelry. A luxury ring piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Rings,"Royal Spark,Rings,Luxury,Gold",TRUE,Active,RS-RIN-002,880000000026,,,,,,,,,,3250.00,3835.00,1560.00,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/zunjm4jc_426b8562-73d0-4980-b0fa-67c1b86f59ff.jpg,1,Emerald Halo Ring by Royal Spark,,FALSE,Emerald Halo Ring | Royal Spark Jewelry,"Emerald Halo Ring by Royal Spark Jewelry. A luxury ring piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-RIN-002,Rings,"Luxury, Jewelry",new,TRUE,Rings,Royal Spark,Luxury,Import Batch 1,
Crown Detail Ring,crown-detail-ring-rings,"Crown Detail Ring by Royal Spark Jewelry. A luxury ring piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Rings,"Royal Spark,Rings,Luxury,Gold",TRUE,Active,RS-RIN-003,880000000027,,,,,,,,,,2890.00,3410.20,1387.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/zunjm4jc_426b8562-73d0-4980-b0fa-67c1b86f59ff.jpg,1,Crown Detail Ring by Royal Spark,,FALSE,Crown Detail Ring | Royal Spark Jewelry,"Crown Detail Ring by Royal Spark Jewelry. A luxury ring piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-RIN-003,Rings,"Luxury, Jewelry",new,TRUE,Rings,Royal Spark,Luxury,Import Batch 1,
Moissanite Grace Ring,moissanite-grace-ring-rings,"Moissanite Grace Ring by Royal Spark Jewelry. A luxury ring piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Rings,"Royal Spark,Rings,Luxury,Gold,Moissanite",TRUE,Active,RS-RIN-004,880000000028,,,,,,,,,,2190.00,2584.20,1051.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/zunjm4jc_426b8562-73d0-4980-b0fa-67c1b86f59ff.jpg,1,Moissanite Grace Ring by Royal Spark,,FALSE,Moissanite Grace Ring | Royal Spark Jewelry,"Moissanite Grace Ring by Royal Spark Jewelry. A luxury ring piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-RIN-004,Rings,"Luxury, Jewelry",new,TRUE,Rings,Royal Spark,Luxury,Import Batch 1,
